Species Link,Species,Order,Family,Number of recordings,Songs,Calls,Instr.,Juveniles,Undefined,Date of last modification,Download Link
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Tringa%20erythropus&Page=1,"Tringa erythropus
(Spotted Redshank)",Charadriiformes,Scolopacidae,3,-,3,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Tringa%20erythropus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Thalasseus%20sandvicensis&Page=1,"Thalasseus sandvicensis
(Sandwich Tern)",Charadriiformes,Laridae,3,-,2,-,1,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Thalasseus%20sandvicensis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Streptopelia%20turtur&Page=1,"Streptopelia turtur
(European Turtle Dove)",Columbiformes,Columbidae,3,3,-,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Streptopelia%20turtur
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Streptopelia%20decaocto&Page=1,"Streptopelia decaocto
(Eurasian Collared Dove)",Columbiformes,Columbidae,5,-,5,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Streptopelia%20decaocto
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Stercorarius%20skua&Page=1,"Stercorarius skua
(Great Skua)",Charadriiformes,Stercorariidae,4,-,3,-,1,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Stercorarius%20skua
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Scolopax%20rusticola&Page=1,"Scolopax rusticola
(Eurasian Woodcock)",Charadriiformes,Scolopacidae,4,-,4,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Scolopax%20rusticola
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Rissa%20tridactyla&Page=1,"Rissa tridactyla
(Black-legged Kittiwake)",Charadriiformes,Laridae,8,-,8,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Rissa%20tridactyla
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Numenius%20phaeopus&Page=1,"Numenius phaeopus
(Whimbrel)",Charadriiformes,Scolopacidae,1,-,1,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Numenius%20phaeopus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Limosa%20limosa&Page=1,"Limosa limosa
(Black-tailed Godwit)",Charadriiformes,Scolopacidae,4,1,3,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Limosa%20limosa
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Larus%20michahellis&Page=1,"Larus michahellis
(Yellow-legged Gull)",Charadriiformes,Laridae,2,-,2,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Larus%20michahellis
